"text","context","label"
"I helped a external reviewer understand a difficult formal evaluation criteria regarding the proposal document.","The external reviewer had been monitoring progress closely.","Positive"
"Still bogged down by with the new python programming.","This happened while working with a new team member, manager.","Negative"
"The client check-in call yielded great results, quite productive.","The external reviewer had high expectations for this work.","Positive"
"I spent three hours on this proposal document this afternoon.","The system update occurred a week ago.","Neutral"
"I spent three hours on this proposal document this afternoon.","The client proposal delivery was a high priority for the department.","Neutral"
"I'm having difficulty mastering this python programming.","This was following several short attempts at the conceptual challenge.","Negative"
"Our team secured in delivering the client proposal delivery on time.","The team had been working remotely most days.","Positive"
"I processed my peer review today.","This was something department head had requested specifically.","Neutral"
"I got my PMP certification test results back today.","The research paper submission was a high priority for the department.","Neutral"
"I processed my user testing script today.","The deadline was three days away.","Neutral"
"I couldn't help my team lead understand the phased implementation strategy, which was disheartening.","This was something team lead had requested specifically.","Negative"
"The client proposal delivery deployment failed.","This was part of a larger client proposal delivery initiative.","Negative"
"I explained the standard operational procedure to my client representative.","The requirements for the proposal document changed this morning ago.","Neutral"
"My lecture was a waste of time, mentor was not impressed.","This was following several challenging attempts at the client issue.","Negative"
"delivered the presentation slides as required.","Weather was surprisingly collaborative that day.","Neutral"
"Feeling energized after a intensive team sync-up.","The project stakeholder had been monitoring progress closely.","Positive"
"gave the budget tracking as required.","This happened despite limited resources for the budget tracking.","Neutral"
"I discussed my key efficiency measure during the project kick-off meeting.","This happened while working with a new team member, client representative.","Neutral"
"The project planning session went better than expected, quite productive.","The department head had been monitoring progress closely.","Positive"
"I solved a challenging implementation issue this morning.","This was something department head had requested specifically.","Positive"
"I stuck on this calculation error, feeling stuck.","The deadline was overnight away.","Negative"
"The inter-departmental team challenge with project stakeholder was frustrating and unproductive.","The requirements for the report draft changed the weekend ago.","Negative"
"Documented the steps for the advanced debugging technique.","Everyone seemed routine during the call about the client proposal delivery.","Neutral"
"The research paper submission status was updated by professor.","The team had been working remotely most days.","Neutral"
"The status update call agenda covered lab experiment planning.","This was following several routine attempts at the client issue.","Neutral"
"I did hit the deadline for my research phase.","The system update occurred yesterday afternoon ago.","Negative"
"did not hit the deadline for my presentation slides.","The academic advisor had been monitoring progress closely.","Negative"
"My instructor found fault with my work on the PhD thesis defense.","The instructor had been monitoring progress closely.","Negative"
"Feeling energized after a collaborative project retrospective.","Everyone seemed collaborative during the call about the UI/UX design project.","Positive"
"I'm disappointed with my contribution to the predictive data analysis.","The department head had been monitoring progress closely.","Negative"
"Documented the steps for the git collaboration tool.","This was during the final phase of the predictive data analysis.","Neutral"
